Bandit,Reward,Algorithm
4,4,EpsilonGreedy
4,4,EpsilonGreedy
4,4,EpsilonGreedy
4,4,EpsilonGreedy
1,1,EpsilonGreedy
4,4,EpsilonGreedy
4,4,EpsilonGreedy
4,4,EpsilonGreedy
4,4,EpsilonGreedy
4,4,EpsilonGreedy
4,4,EpsilonGreedy
4,4,EpsilonGreedy
4,4,EpsilonGreedy
4,4,EpsilonGreedy
4,4,EpsilonGreedy
4,4,EpsilonGreedy
4,4,EpsilonGreedy
4,4,EpsilonGreedy
4,4,EpsilonGreedy
4,4,EpsilonGreedy
4,4,EpsilonGreedy
4,4,EpsilonGreedy
4,4,EpsilonGreedy
4,4,EpsilonGreedy
4,4,EpsilonGreedy
4,4,EpsilonGreedy
4,4,EpsilonGreedy
4,4,EpsilonGreedy
4,4,EpsilonGreedy
4,4,EpsilonGreedy
4,4,EpsilonGreedy
4,4,EpsilonGreedy
1,1,EpsilonGreedy
